name,price,star,review_count,cat,zipcode
Kalaveras,$$,4,75,"Mexican,Bars",91709
Cook on Thai,$$,4,29,Thai,91709
The Boiler,$$,4,1462,"Cajun/Creole,Seafood",91709
The Dirty Penguin,$,4.5,1016,"Coffee & Tea,Breakfast & Brunch",91709
& Dim Sum,$$,4,205,"Dim Sum,Shanghainese",91709
Estancia at The Grand Conquista,,4,158,Mexican,91709
Take Ur Seat,$$,4,1097,"Breakfast & Brunch,Asian Fusion,Cafes",91709
Mes Amis,$$,5,82,"Lebanese,Tapas/Small Plates",91709
Happy Together,$$,4,114,Cantonese,91709
The Vintner’s Tavern,$$,4.5,386,"Wine Tasting Room,American (New)",91709
Nguyen’s Kitchen,$$,4,423,"Vietnamese,Noodles,Sandwiches",91709
Shabu Wara,$$,4.5,506,"Hot Pot,Japanese,Sushi Bars",91709
Kisses From Italy,,4.5,23,"Italian,Salad,Sandwiches",91709
Ojiya,$$,4,990,"Sushi Bars,Japanese",91709
Noodology,,4,144,Chinese,91709
Chino Hills Brewing Company,$$,4,217,"American (Traditional),Breweries,Sandwiches",91709
Yoshiharu Ramen,$$,4.5,850,"Ramen,Noodles",91709
Roll Em Up Taquitos,$$,4,1150,Mexican,91709
Chophouse 363,$$,3.5,393,"Steakhouses,American (New),Sandwiches",91709
JJ Noodle House,$,4,422,"Taiwanese,Chinese,Noodles",91709
L’uxweet Bakery Cafe,,4,36,"Bubble Tea,Breakfast & Brunch,Bakeries",91709
Dago Taiwanese Restaurant- Chino Hills,$,4,271,"Taiwanese,Noodles,Bubble Tea",91709
Lemongrass Bistro,,4.5,260,"Asian Fusion,Vietnamese",91709
BBQ Chicken Chino Hills,$$,4,378,"Chicken Shop,Korean,Chicken Wings",91709
Hotties Chicken,$$,4,663,"Chicken Shop,American (Traditional)",91709
Roscoe’s Famous Deli,$$,3.5,1167,"Delis,Sports Bars,American (Traditional)",91709
Madbun,$$,4.5,188,"Asian Fusion,Burgers,Chicken Shop",91709
Woodstone Pizzeria,$,4.5,477,"Pizza,Gluten-Free,Italian",91709
El Guero Baja Style Ceviche Bar,$$,4.5,527,"Seafood,Tacos,Bars",91709
Naked Fish,$$,4,294,"Sushi Bars,Japanese",91709
Wood Ranch BBQ & Grill,$$,4,816,"Barbeque,Gluten-Free,American (Traditional)",91709
"Pot on Fire - Chino, CA",$$,4,706,"Hot Pot,Bubble Tea,Asian Fusion",91709
Gen Korean BBQ House,$$,4.5,2667,"Korean,Barbeque,Asian Fusion",91709
Wang Cho Korean BBQ - Chino,$$,4,1506,"Korean,Barbeque,Wine Bars",91709
Wat Phrathat Doi Suthep USA,,4.5,40,"Buddhist Temples,Food Court",91709
Compadres Cantina,$$,4.5,702,"Bars,New Mexican Cuisine,Latin American",91709
Inchin’s Bamboo Garden,$$,4,254,"Chinese,Asian Fusion,Halal",91709
Seoul Tofu & Grill,$$,4.5,270,Korean,91709
Owen’s Bistro,$$,4.5,584,"American (New),Seafood,Steakhouses",91709
All That Sushi,$$,4.5,260,"Sushi Bars,Japanese",91709
The Flinderstreet Cafe,$$,4.5,1072,"Coffee & Tea,Bakeries,Cafes",91709
Thaitwist,$$,4,1561,Thai,91709
The Avocado House,$$,4,1642,"Breakfast & Brunch,Sandwiches,Salad",91709
Hummus Republic,,4.5,167,"Mediterranean,Salad,Desserts",91709
Aki Ramen & Kitchen,$$,4.5,114,Ramen,91709
Chodang Tofu House,$$,4,211,"Korean,Barbeque",91709
Yard House,$$,3.5,976,"American (New),Vegetarian,Bars",91709
Dog Haus,$,4,218,"Burgers,Hot Dogs,American (New)",91709
D’Vine Express,,4.5,10,Mediterranean,91709
Luna Grill - Chino Hills,$$,4,431,"Greek,Mediterranean,Salad",91709
Love Letter,$$,4,175,"Pizza,Korean,Chicken Wings",91709
Vanilla Fish - Chino Hills,$$,4,585,"Japanese,Sushi Bars",91709
Limericks Tavern,$$,3.5,241,"American (New),Gastropubs,Irish Pub",91709
Squeeze In,$$,3.5,609,Breakfast & Brunch,91709
El Torito Loco,$,4.5,206,Mexican,91709
Tokyo Roll And Noodle,$$,4,180,"Sushi Bars,Ramen",91709
Mandarin Noodle Deli,$,3.5,99,"Chinese,Noodles",91709
Pop Pot & Tea- Chino,,4,14,"Hot Pot,Bubble Tea,Taiwanese",91709
Shoboo Kitchen,$$,4,721,"Sushi Bars,Japanese,Seafood",91709
Tasty Dim Sum House,,3.5,115,Dim Sum,91709
Super Sergio’s,$,3.5,180,Mexican,91709
Taiwan’s No 1 Cuisines,$,4,113,"Taiwanese,Chinese",91709
Thai Thani Cuisine,$$,4.5,1231,"Thai,Asian Fusion,Noodles",91709
Rendez-Vous Cafe,$,4.5,382,"Cafes,Breakfast & Brunch,Coffee & Tea",91709
Cravings by 99 Ranch Market,$$,3.5,365,"International Grocery,Pan Asian,Food Court",91709
Joey’s Bar-B-Q,$$,4,975,Barbeque,91709
Pho Grand Vietnamese Noodle and Grill,$,4,338,Vietnamese,91709
Makomae Japanese Cuisine,$$,4.5,458,Sushi Bars,91709
Casa Diaz Mexican Restaurant,$$,4,326,"Mexican,Cocktail Bars",91709
The Local Thai Cuisine,$$,4,126,Thai,91709
Song Chan Ramen and Grill,$$,4,368,"Ramen,Japanese Curry",91709
Young Dong Tofu,$$,4,714,Korean,91709
BJ’s Restaurant & Brewhouse,$$,3,695,"Pizza,Breweries,American (New)",91709
