,Restaurant,User_Name,Location,Time,Stars,Review,Zip_Code
0,"4540 La Jolla Village Dr San Diego, CA 92122",Patty C.,"San Diego, CA",5/31/2021,5,"I was invited to have a birthday dinner here. I was glad because I have dined at PFChang enough time to know their food quality is not disappointing. I mentioned my rapid reward dining number to managers Drew and Brian. They both graciously acknowledged my information for future rewards. Our waitress Shadia was nice and professional. She made good recommendations and was quick with her service.  We started off with the spicy Kung Pao brussels sprouts, which was Wok charred and served with peanuts, chili pods and their house Kung Pao sauce. The flavor was delectable and needless to say, mouth-watering.  I decided OOlong Chilean sea bass for my entree. It was a wild-caught tea marinated filet, served with ginger soy sauce and spinach. The dish was sweeter then I preferred, but it still had a lot of flavor.  My friend ordered a Chang's spicy chicken, accompanied with a side of fried rice. The chicken was served in a sweet and spicy chili sauce. He commented that the flavor was pleasing because it had the rightful combination of spice. My birthday dessert was a famous Chang's Great Wall of chocolate. Easily shared because the six layer chocolate cake, laden with semi-sweet chocolate chips and chocolate frosting with a whopping 1700 calories. However, the taste was worth the gluttony.",92122
1,"4540 La Jolla Village Dr San Diego, CA 92122",Elizabeth B.,"San Diego, CA",7/2/2021,2,"My kids took me here for a belated Mother's Day dinner.  We were looking forward to a good dinner but that was not the experience we got.  They did seat us early but it took more than 15 min for my son to get his beer.  Then the salad i ordered was served to me about 25 min before my kids dishes.  Because I didn't want to start before all the meals had been served, I didn't realize that it was not the right salad.  We were already disturbed that the other 2 dishes took a full 60 min to arrive at a time when the restaurant was not busy, I was now annoyed that I had to send back a dish.  We waived over who turned out to be the manager and explained the situation.  He never once said that he was sorry that I had gotten the wrong order.  When they served the right salad, the salmon was not fully cooked.  On top of all of this, we had to spend the entire dinner eating off a table that was unbalanced and kept tipping back and forth the entire meal, Incredibly annoying. They did not charge us for the salad and they gave us a free desert but then the free desert took another almost 30 min to arrive, again the restaurant was not busy.  We were not the only table that was experiencing issues.   I did feel for the server and appreciated her taking responsibility for the salad order being incorrect the first time.  She clearly felt bad for all of the problems that we were experiencing.  Sadly, we will never go back.  They have a problem that they need to correct.  It's unfortunate because we really used to like going there.",92122
2,"4540 La Jolla Village Dr San Diego, CA 92122",Edward B.,"Pasadena, CA",6/26/2021,2,"We came in for our dinner reservation at 7pm via Open Table for dinner  6/26 for 5 people . The hostess had no record of the reservation and I showed her my confirmation email from Open Table. She conferred with others and asked us to wait and we'd have a table in 10 minutes.At 725 pm we asked the hostess who had been seating other parties what the table status was for us. She stated that we were a walk in and we reminded her I had a confirmation of a reservation and was told to wait briefly. We were then shown to a tabletop for 4 people directly in front of the kitchen entrance. Our server was excellent, however we were given another  table's entree and then had one of main dishes come out 30 minutes after all the others were served. It was an extremely uneven night.",92122
3,"4540 La Jolla Village Dr San Diego, CA 92122",Vance E.,"CA, CA",6/11/2021,1,"Staff is terrible. Will stand around chatting it up while you stand at their host stand waiting for them.When I ordered for pickup they said it'd be ready at 6:05. Got there at that time,  they said it wasn't ready and to take a seat. Sat down and waited over 30 minutes and heard nothing. Got impatient and went to the stand. Saw my order sitting right there and asked the other hostess (which there were 4 at that stand, zero at the takeout stand) if I could just grab it since I'd been there so long. She wouldn't let me so I had to wait for another one to return and literally just hand me the bag and nothing else. What a useless staff.. I would've sat there waiting indefinitely if I hadn't got up to check the names on the orders myself. Food is mediocre. Slightly better (not much though) than Panda for 2-3 times the price. Always seems not very fresh. Togo ramen is pretty good so I'll give them that, but that's about all this place has going for it.",92122
4,"4540 La Jolla Village Dr San Diego, CA 92122",Yueming Q.,"San Diego, CA",7/18/2021,4,"PF Chang is not very authentic Chinese food but I believe it meets more people's tastes in US. For me, I'm okay with that too. Today I ordered the wonton soup and Buddha's feast which I was very satisfied with both. The only thing is what my husband ordered - the dumplings taste weird to me because they are lobster dumplings with miso butter. We never put butter with dumplings so it's very strange to me, but my husband enjoyed it very much. He also enjoyed his dragon roll. We will come back, especially I wanna try their ma po tofu next time.",92122
5,"4540 La Jolla Village Dr San Diego, CA 92122",BB B.,"San Diego, CA",8/8/2021,1,The food was not fresh or hot when it came to our table the rice was mushy very disappointing.,92122
6,"4540 La Jolla Village Dr San Diego, CA 92122",Nathalie C.,"Mission Viejo, CA",5/7/2021,3,I havent been to PF Changs in a million years and I remember why. This place is so over priced for the quality of food you get here. The low mein was a joke. Like panda expresses chow mein has so much more flavor. The pepper steak was ridiculously overwhelmed with sauce that you can't eat it unless you chase it with a bog spoonful of PLAIN RICE. the sesame chicken was pretty good and the dynamite shrimp was okay. I would not go back. Nope. The service was good hence the 3 stars. But food is pure waste.,92122
7,"4540 La Jolla Village Dr San Diego, CA 92122",CJ M.,"Sandy Springs, GA",7/31/2021,5,"We ate here this week for a going away party. We had 20 people at our table. Our server, Mia, was amazing! She took everyone's food and drink order without writing anything down. Everything we ordered actually all came out as requested. We were all amazed. She was very friendly and helpful with navigating the menu and attending to our needs. The food was great as always (my husband and I order delivery from here every couple of weeks). Great experience!",92122
8,"4540 La Jolla Village Dr San Diego, CA 92122",Maria G.,"San Diego, CA",4/3/2021,3,"So we came here for dinner and ordered the lettuce wrap and Chicken Pad Thai. We placed an order to be picked up. Overall, the food is decent but not authentic Chinese. What did we like about the place? Menu selection- especially the selection for gluten free. I also appreciated that they labeled the containers that were gluten free because we ordered two Chicken Pad Thais, one of which was gluten free and the other one was regular. Placing the order was simple and pickup went smoothly. The food tasted fresh. What would prevent us from returning? First, the parking is terrible. Luckily, my husband drove so he was able to wait by the curb while I ran in. Second, the prices. The food wasn't worth it. To pay over $50 for three mediocre dishes is too much. Third, the food. Okay, maybe I should have listed this reason first but the parking situation was pretty crazy when we got there so I am still thinking about it. Anyway, even though I appreciated the gluten free options, both the lettuce wrap and Chicken Pad Thai were a little on the sweet side. The portion sizes were also a little on the small size.",92122
9,"4540 La Jolla Village Dr San Diego, CA 92122",Christine H.,"Brea, CA",5/31/2021,1,"I'm so sad to say that this location is horrible. I gave it two chances before writing this review as I hate to write negative reviews and have always loved PF Chang's. First, our table was super sticky then we had to wait a very long time before getting any service (15 min). When we finally did, I ordered a glass of sparkling Rose which came out flat and with RED lipstick on the glass. I of course sent it back and the server brought a new one and wanted to point out to me that it wasn't flat...I was not going to argue because my replacement glass was fine it just seemed odd that she'd push that point. The food was cold and not of the same quality as other PF Chang's I've been to. Trust me and don't come here. Even if staying across the parking lot as we did, just not worth it.",92122
