,Restaurant,User_Name,Location,Time,Stars,Review,Zip_Code
1,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Shabe A.,"Los Angeles, CA",4/28/2021,5,Louis was a great manager I had a wonderful experience here good ambience The manager here is very attentive and looks to the needs of customers,91739
2,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Brianne O.,"Upland, CA",8/2/2021,3,"We went here the other day for a birthday celebration...but we were a little bit disappointed with the menu options. They have changed since 3 years ago when we went. The main dish we got was the beef and broccoli but it wasn't that great. The Kung Pao Chicken was good though. The service wasn't really good either, our waiter never checked on us if we needed anything. Don't really think we will be coming back...",91739
3,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Joe G.,"Chino Hills, CA",6/1/2021,3,So disappointed. The first time I've ever been disappointed at a PF Change. And I've been to many.So many things were wrong I'll just leave it at that! I won't be back to this one ever!,91739
4,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Allyson Z.,"Rancho Cucamonga, CA",5/25/2021,1,"We ordered DoorDash Saturday and it was really awful and truly inedible. We had previously ordered from them, and although pricey, it seemed worth it because the food was excellent. But that wasn't the case this time! The Crispy Honey chicken (which we've ordered before) was so sickeningly sweet, I couldn't eat it this time. The rice had an odd after taste. Even my husband who isn't picky didn't like it! He tried something new, shrimp and lobster sauce which was also overly sweet. That was bizarre. I don't know if they have a new chef or something, but we won't be ordering from them again! I emailed their corporate office regarding this. DoorDash didn't refund the $58 we spent, so I feel like they should do something to make it right. I'll update if anything changes.Update:P.F. Chang's replied below but I already contacted you on your website? #confused ‍",91739
5,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Ray D.,"Perris, CA",8/10/2021,5,"I finally got to try this place where I have meaning to come for some time now. The Giant Horse outside and very nice Decor inside are a very nice touch to this Chinese/Japanese fusion restaurant. My favorite being the long picture of pretty woman Samurai with her Sword. Battered Prawns, Peking Duck and shrimp lo mein was delicious.",91739
6,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Monica M.,"Eastvale, CA",7/5/2021,5,"My family and I had a great experience here for dinner while we were celebrating our little girls birthday.  The are it's located in has plenty of parking and outdoor shopping all around. I recommend calling ahead for reservations because the waiting area inside is small. The decor is beautiful and there is plenty of seating indoor and outdoor. Our server Mindy was absolutely amazing! I will ask for her everytime I go and I suggest you do too of you want excellent service.  She was very attentive, knowledgeable about the menu, and so sweet. We ordered fried rice, lo mein, orange chicken,  sesame chicken,  and honey crispy chicken. Everything tasted wonderful. I like that you have the option to use brown rice for the fried rice as a healthier option.  Mindy brought ice cream with deep fried banana eggroll for our little girls birthday. We had a wonderful time. This place is great for large parties and sharing dishes. They also have the QR scan for the menu and a QR scan to pay the bill at the end.",91739
7,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Tk K.,"SoMa, San Francisco, CA",8/2/2021,5,"We had the delight of being waited on by Joy (male server at PF Chang's, Rancho Cucamonga). He radiated a kind of hospitality and welcome that put my whole group at ease. Throughout the meal, he seemed so connected to our dining needs that socializing, eating, drinking, and spending became effortless. You get the feeling that he's actually taking care of you, but so subtly and never intrusively. Friendly, yet refined. Ideal, astonishing, superb.     It's the kind of service you're willing to pay top$ for from the most upscale establishments, but rarely ever experience.(I'm not in the habit of writing reviews, but in commending Joy to his manager, the latter requested I express my wonderment in Yelp. Easily greater than 5 stars.)",91739
8,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Drew W.,"Forney, TX",6/14/2021,5,"I fly for an airline and had an overnight in Ontario.  I met up with my in-laws that I haven't been able to see for months for dinner here at PF Chang's in Rancho Cucamonga.  From the very moment we walked in, we were greeted by a very friendly staff and were seated fairly quickly.  Our waiter/server was fantastic and patient while we looked at the menu.   If you don't get the chicken/lettuce wraps for an appetizer, you're doing Chang's all wrong.  The food was fantastic.  I got the orange chicken and it was delicious.  I'm not a huge sushi fan, but my in-laws got me to try it and ended up really liking it.  Our drinks never ran dry, we ate waaaay too much, and we enjoyed our evening catching up.",91739
9,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Scott D.,"Rancho Cucamonga, CA",10/20/2020,5,"Absolutely frustrating experience. Spent the time to build an order online input six $50 gift cards that are all brand new unused and I continue to get it error message stating that one of the numbers is wrong.  So I re-input the card numbers, over and over again. I finally drive there and walk in the location to place my order and they the host tells me that I can't use gift cards online.  WTF! ....Then why in the world do you allow us to input gift cards on your website and then an error message that the card number is wrong when in fact you don't take your gift cards online! What a waste of my time!",91739
10,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Isabella R.,"Redlands, CA",8/6/2021,5,"My mom and I love to come to PF Chang's whenever we need to refuel after running errands or shopping. The food is always fresh and delicious. More importantly, the staff is extremely friendly and welcoming. The last three times we went, my mom and I had the same waitress, Marissa. She was friendly, attentive,  and did an excellent job making sure we had everything we needed to enjoy our lunch. I noticed that this PF Changs also remodeled the interior of the restaurant, and it looks even better than before! I highly recommend this place if you are going to Victoria Gardens.",91739
