,Restaurant,User_Name,Location,Time,Stars,Review,Zip_Code
0,"3525 Carson St Ste 166 Torrance, CA 90503",Kiran C.,"Los Angeles, CA",8/8/2021,3,"We came to P.F. Chang's yesterday for my parents anniversary and while the service was good, the food was just not hot enough. We asked a few times but they didn't really respond well to that. Hot and Sour soup was just warm and not hot. We used to come here often but idk anymore about multiple strikes the past few times.",90503
1,"3525 Carson St Ste 166 Torrance, CA 90503",Angela L.,"Torrance, CA",8/7/2021,3,"Came here only because we got a goft card...lets see....we had a reservation so we didn't have to wait...i suggest getting a reservation online otherwise you have to wait a lot. Ambience was very nice, service was great and attentive. For appetizer we ordered the first sushi roll on the menu and the dynamite shrimp. Sushi roll was good but the dynamite shrimp was honestly not good at all....for entree my husband got the galbi NY strip steak that comes with roasted potatoes peppers and onions and brown rice...meat was tender, sauce was nothing special but they did not ask how qe wanted our steak cooked so it came out medium...a bit overcooked for our taste but at least it was tender. They should ask for cooking preference for steaks though.I ordered the lo mien with pork. Good flavor but nothing special, reallyFor dessert we ordered the flaming fire and ice...it was a bread pudding w vanilla ice cream coated in dark chocolate dome and flambed with rum...good flavor but the bread pudding was too wet....made it seem that fhe custard was undercooked....overall it was just an lk experience...",90503
2,"3525 Carson St Ste 166 Torrance, CA 90503",Leo H.,"Ontario, CA",7/16/2021,1,We stopped by one of my favorite spots to eat Saturday    Made reservations for 4pm got here and wait about 10 mins to be seated that was the 1st strike....  so the hostess seated us outside we sat there for about 20-30 mins with out nobody asking did we want drinks or anything that was the 2nd strike....  so I had to get up and ask for the manager and explained to him we have been waiting 20mins with no service so finally a guy comes to the table with a look on his face like he don't want to be working so he started saying they pulled me from what I was doing to come help y'all but I'm not the one that works outside I work inside I don't really want to be out here but I will take your order so that's the 3rd strike....  so I tell him if u don't want to serve us you don't have to ok for one you should never tell a customer anything like that so I tell him to leave I get up and get the manager and tell him what was said so he sends some else over by this time I'm pissed off and ready to leave but I'm hungry so we just stayed and made the best of a bad situation with drinks...  I been here a few times and had little problems with mixing up orders but the customer service here is terrible and needs to be fixed ASAP a waiter should never act in the way he did or even say the things he said to a paying customer so I paid $400 for bad service cold bland food and a complaining waiter... this is one of my favorite spots BUT I WILL DEFINITELY NOT BE RETURNING TO THIS LOCATION AGAIN....,90503
3,"3525 Carson St Ste 166 Torrance, CA 90503",Evan F.,"Redondo Beach, CA",10/28/2020,4,"Updated review foe today only. Made online reservation for two persons for 7:30 pm. At 7:01 pm restaurant emailed me ""your table is waiting"" and confirmed 7:30 pm time. While traveling there (on Uber) restaurant called and said they can't honor online reservations and said that I should have phoned in the reservation. They said they could accommodate us in their outdoor unheated area.   We canceled the reservation and dined at elsewhere. Very bad PR.",90503
4,"3525 Carson St Ste 166 Torrance, CA 90503",Sara R.,"Ontario, CA",3/26/2021,1,Terrible!!! We came in for a birthday party and they would not let us sit at the table!!! 6 person ... We had one person running late coming into town. They made they rest of the party wait untill this one person came in!!! We had to wait over 35 mins just to sit for our reservation! By the way they were not busy at all!!!,90503
5,"3525 Carson St Ste 166 Torrance, CA 90503",J S.,"Hawthorne, CA",3/5/2021,4,"That thing happened to me that I've been dreading for the past year.  Getting hungry during the pandemic yet not feeling up to cooking...but wondering about food quality.  Yes, today I got burned to the tune of $40Although I saw people eating along the patio when I arrived for pickup, bjs food looked so much better (and their quality didn't suffer much over the holidays).  Another thing that looked strange was why were four female employees huddled around the hostess station.Anyway, I get my food home and notice the crab Rangoon hasn't changed.  Now my combo rice and dumplings are another story.  The rice had little taste with big chunks of fatty mystery meat throughout.  No heat, savory, umami...nada!  I ordered pan fried dumplings and only one side had a noticeable sear.  The rest were steamed and the shrimp filling tasted like ground haddock.  One was completely inedible because...someone didn't clean the grill.  Pictured are pieces of burnt charred particles, which are actually dangerous to consume.Wish I'd gone to yelp instead of Google, where this place has 4/5 stars.  Next time I get a Chinese food craving, I'll head out to thai dishes in Manhattan beach.  Same price, better quality.",90503
6,"3525 Carson St Ste 166 Torrance, CA 90503",Carlos R.,"Los Angeles, CA",8/29/2020,5,"Outdoor sitting which is the new norm! Tables are scattered, so the the normal is ""almost there"" The service is excellent our waiter is very attentive and does give us a rundown on the menu and the whole situation. Hand sanitizer, space given! Only outdoor seating which was more comforting. The orange chicken was exceptional not dry it felt straight from the kitchen. I also got the chicken lettuce wraps, rice and lomaine aka noodles. The only thing I tried that was new to me was the bulogi steak  with potatoes. It was good it was medium done and it was tender not dry or chewy. I felt comfortable eating outdoors still with the feeling you have to be aware of your surroundings but it's what we have to adapt too now. Lately I have been tipping more than usual just cuz I know the waiters/waitress and cooks have been in the same fight as all of us making ends meet. So tip your servers people!!!",90503
7,"3525 Carson St Ste 166 Torrance, CA 90503",Lucky S.,"Downtown, Los Angeles, CA",6/20/2021,1,Its father's day dinner we called for take out.We called to request for a reservation but they said they are not taking tables for tonight. Got to the restaurant to pickup takeout and only 3 tables occupied and whole restaurant is empty.Worst food ever we paid $85 dollars. If you go to a small Chinese restaurant that offers $1 item they have better food. See pictures. Kung pao chicken just fried chunks without any flavor.Fried rice mostly white rice mixed with some only some veggies.Orange chicken is also just fried chunks without any flavor.This place is rip-off.Called back to complain but nobody got to the phone for 15 minutes Don't waste your time and money and better go to a family run place where they actually treat you like a paying customer.,90503
8,"3525 Carson St Ste 166 Torrance, CA 90503",Paulina N.,"Hawthorne, CA",10/2/2020,3,"My bf and I went on a weekend day, and they had just started outdoor seating the weekend prior. Wait time was 45 min to 1 hr, but they were actually able to seat us fairly quick. I would recommend making an appointment so that you can get one of the booths that are covered; as those are reserved for reservations only. (It'll be less windy with a bit more privacy). The food was okay. Nothing too spectacular. This is a place that I would come to once in a while, but probably not very frequently. I'd probably avoid coming with a big party too since the food can be a bit pricey for big groups and the portions aren't very big for you to share.",90503
9,"3525 Carson St Ste 166 Torrance, CA 90503",Jakai L.,"Redondo Beach, CA",5/26/2021,5,Rude place they cut help so much they have al these empty tables yet make you wait and to top it off tel you to go outside and wait I mean I get it because f Covid but you don't have to be rude They tell you they are waiting to clean tables,90503
10,"3525 Carson St Ste 166 Torrance, CA 90503",Matthew M.,"Los Angeles, CA",5/3/2021,3,"This chain is a perfectly acceptable option for Asian food if that's what you're craving and need something reliable. The miso lobster dumplings are exceptionally good and flavorful. As far as entrees are concerned I would steer you towards the shrimp in lobster sauce. It's silky, sweet, earthy, and salty all at once. It goes exceptionally well with white rice. Their brown rice was a little dry and bland which is a risk with any brown rice preparation. Chang's spicy chicken is ok. It's didn't have as much sauce as I would've liked to lubricate the rice, but the chicken pieces were well cooked. You're going to find a variety of dishes ranging from various cultures with the American palette considered quite heavily.",90503
11,"3525 Carson St Ste 166 Torrance, CA 90503",Alex L.,"Redondo Beach, CA",11/29/2020,1,"Avoid ""Miso Glazed Salmon"" - the 'Asian mushrooms' that are part of the dish apparently came undercooked which I didn't realize until next day I got hit with super bad allergy all over my torso, back, shoulders and neck. Looking up the symptoms revealed I've got ""shiitake dermatitis"" - a rash following the ingestion of raw or undercooked shiitake mushrooms.",90503
12,"3525 Carson St Ste 166 Torrance, CA 90503",Christina C.,"Hermosa Beach, CA",4/8/2021,1,"The food here is good however our meal was ruined tonight. They use door dash and we received our order with a missing item, my dinner. They said they would refund us but that they could not have one delivered. The food is 4 stars but the missing item brought it down to 1.",90503
13,"3525 Carson St Ste 166 Torrance, CA 90503",Brittany S.,"Redondo Beach, CA",6/20/2021,3,"3rd time here. Very inconsistent. Last time we ordered the flaming desert for the kids to watch her melt and burn the whole thing in many attempts to light it (we were inside). Then she just goes, ""oh well. Here ya go."" And walks away, leaving us with a burnt pile of moosh. It was a dud. No replacement for the failed fire desert. Alrighty then lol. This time was decent. The drink was really good. If get it again or try making it at home. It was a nice refreshing flavor. The food is quite pricy for stir fried with tons of rice. We ordered the steak rare, to have it come out well done. It's extremely tiny too. The higher the plate cost, the smaller amount of food you get. The roll was interesting, but I'll stick to actual sushi restaurants for that kind of thing. Of each experience, none of it tasted fresh. It all tasted like reheated leftovers. Our first time we got a bunch of different plates and shared. The mushrooms and all seafood were chewy like rubber. Soups were quite small (mostly broth) and these huge plates of white rice I guess to fill you up. The sampler was skimpy as well. The things I DID like besides the mojito were all the sauces they put on each dish. Can't remember all of them but there were 6 of us who all ordered different things to share. I'll take the mojito as a win but won't be back unless someone else invites and insists on going there.",90503
14,"3525 Carson St Ste 166 Torrance, CA 90503",Jen K.,"Torrance, CA",4/26/2021,4,This is one of my favorite place to eat since they opened this place. I'm disappointed they don't have the Shrimp with honey dew that's my favorite there. I like their Lettuce wrap and eggplants it was so good!,90503
15,"3525 Carson St Ste 166 Torrance, CA 90503",Marcelle M.,"Redondo Beach, CA",6/28/2021,2,"I don't know if this restaurant got the memo about opening with new health orders but seems they are still in midst of pandemic. Got there at 7:17p on a Monday and was told they close at 8p so wouldn't seat us. Trying to be understanding of businesses challenges and still wanting to support local I asked if I could order takeout. Was directed to bar and placed order. Was told, that due to Covid I could not wait inside restaurant (although there were tables eating inside) and had to go outside. She asked my name and said they would bring it out. At 7:50p no food. Had to go back inside and from the taste of the food, it had been sitting for some time. Cold and soggy. But a patron arriving at 7:50p got sat. It will be long after further restrictions are lifted before I try PF Chang's again anywhere.",90503
16,"3525 Carson St Ste 166 Torrance, CA 90503",No Entourage Needed N.,"Malibu, CA",9/12/2020,5,@PFChangs Dinner For Two Menu is OUTSTANDING for the low price of $32.00. Well worth it & more. It's alot of food & can actually feed 4 people.#PFChangs#PFChangsDinnerForTwo#DinnerForTwo#HOUvsLAL#NBA#nbaPlayoffs2020 #NBAPlayoffs h,90503
17,"3525 Carson St Ste 166 Torrance, CA 90503",Marisa P.,"Lawndale, CA",5/23/2021,4,"A very good ""American"" Chinese place!!!  Very clean & sanitary.",90503
